Epoch: [1][0/2151], lr: 0.00100	Time 4.192 (4.192)	Data 3.778 (3.778)	Loss 4.8706 (4.8706)	Prec@1 5.000 (5.000)	Prec@5 15.000 (15.000)
Epoch: [1][20/2151], lr: 0.00100	Time 1.762 (0.948)	Data 1.389 (0.519)	Loss 4.9953 (4.9443)	Prec@1 7.500 (2.024)	Prec@5 12.500 (9.524)
Epoch: [1][40/2151], lr: 0.00100	Time 1.255 (0.781)	Data 0.897 (0.386)	Loss 4.9726 (4.9472)	Prec@1 0.000 (2.256)	Prec@5 5.000 (8.415)
Epoch: [1][60/2151], lr: 0.00100	Time 3.322 (0.781)	Data 2.955 (0.396)	Loss 5.0893 (4.9306)	Prec@1 0.000 (2.336)	Prec@5 7.500 (8.689)
Epoch: [1][80/2151], lr: 0.00100	Time 0.767 (0.728)	Data 0.404 (0.349)	Loss 4.8735 (4.9305)	Prec@1 0.000 (2.438)	Prec@5 5.000 (8.858)
Epoch: [1][100/2151], lr: 0.00100	Time 1.294 (0.720)	Data 0.936 (0.344)	Loss 4.7158 (4.9250)	Prec@1 2.500 (2.599)	Prec@5 15.000 (9.257)
Epoch: [1][120/2151], lr: 0.00100	Time 0.398 (0.723)	Data 0.039 (0.350)	Loss 4.8098 (4.9222)	Prec@1 2.500 (2.727)	Prec@5 15.000 (9.525)
Epoch: [1][140/2151], lr: 0.00100	Time 0.357 (0.705)	Data 0.000 (0.333)	Loss 4.8432 (4.9184)	Prec@1 5.000 (2.677)	Prec@5 10.000 (9.716)
Epoch: [1][160/2151], lr: 0.00100	Time 0.498 (0.709)	Data 0.115 (0.329)	Loss 4.8558 (4.9185)	Prec@1 5.000 (2.655)	Prec@5 7.500 (9.829)
Epoch: [1][180/2151], lr: 0.00100	Time 0.429 (0.697)	Data 0.067 (0.319)	Loss 4.8931 (4.9166)	Prec@1 0.000 (2.624)	Prec@5 10.000 (9.834)
Epoch: [1][200/2151], lr: 0.00100	Time 0.688 (0.693)	Data 0.327 (0.317)	Loss 5.0597 (4.9177)	Prec@1 7.500 (2.662)	Prec@5 10.000 (9.838)
Epoch: [1][220/2151], lr: 0.00100	Time 0.544 (0.693)	Data 0.175 (0.318)	Loss 4.8757 (4.9136)	Prec@1 2.500 (2.670)	Prec@5 12.500 (10.045)
Epoch: [1][240/2151], lr: 0.00100	Time 0.357 (0.689)	Data 0.000 (0.315)	Loss 4.7975 (4.9112)	Prec@1 2.500 (2.687)	Prec@5 10.000 (10.135)
Epoch: [1][260/2151], lr: 0.00100	Time 0.381 (0.686)	Data 0.000 (0.313)	Loss 4.8109 (4.9109)	Prec@1 2.500 (2.663)	Prec@5 7.500 (10.182)
Epoch: [1][280/2151], lr: 0.00100	Time 0.356 (0.687)	Data 0.000 (0.314)	Loss 4.7760 (4.9084)	Prec@1 2.500 (2.651)	Prec@5 12.500 (10.222)
Epoch: [1][300/2151], lr: 0.00100	Time 0.648 (0.686)	Data 0.287 (0.314)	Loss 4.8018 (4.9051)	Prec@1 2.500 (2.650)	Prec@5 15.000 (10.282)
Epoch: [1][320/2151], lr: 0.00100	Time 0.358 (0.686)	Data 0.000 (0.310)	Loss 4.7582 (4.9046)	Prec@1 5.000 (2.695)	Prec@5 15.000 (10.335)
Epoch: [1][340/2151], lr: 0.00100	Time 0.356 (0.685)	Data 0.000 (0.310)	Loss 4.6099 (4.9025)	Prec@1 2.500 (2.713)	Prec@5 22.500 (10.403)
Epoch: [1][360/2151], lr: 0.00100	Time 0.353 (0.681)	Data 0.000 (0.306)	Loss 4.9427 (4.9021)	Prec@1 2.500 (2.722)	Prec@5 7.500 (10.478)
Epoch: [1][380/2151], lr: 0.00100	Time 0.357 (0.683)	Data 0.000 (0.309)	Loss 4.8153 (4.8996)	Prec@1 0.000 (2.749)	Prec@5 15.000 (10.696)
Epoch: [1][400/2151], lr: 0.00100	Time 0.362 (0.681)	Data 0.000 (0.307)	Loss 4.9584 (4.8949)	Prec@1 0.000 (2.812)	Prec@5 2.500 (10.698)
Epoch: [1][420/2151], lr: 0.00100	Time 0.362 (0.683)	Data 0.000 (0.310)	Loss 4.9783 (4.8937)	Prec@1 0.000 (2.844)	Prec@5 12.500 (10.784)
Epoch: [1][440/2151], lr: 0.00100	Time 0.359 (0.682)	Data 0.000 (0.310)	Loss 5.0144 (4.8931)	Prec@1 2.500 (2.885)	Prec@5 10.000 (10.799)
Epoch: [1][460/2151], lr: 0.00100	Time 0.356 (0.681)	Data 0.000 (0.310)	Loss 4.5176 (4.8889)	Prec@1 5.000 (2.923)	Prec@5 25.000 (10.862)
Epoch: [1][480/2151], lr: 0.00100	Time 0.356 (0.683)	Data 0.000 (0.309)	Loss 4.8811 (4.8857)	Prec@1 2.500 (2.947)	Prec@5 15.000 (10.962)
Epoch: [1][500/2151], lr: 0.00100	Time 0.355 (0.680)	Data 0.000 (0.307)	Loss 5.0003 (4.8846)	Prec@1 0.000 (2.919)	Prec@5 12.500 (11.033)
Epoch: [1][520/2151], lr: 0.00100	Time 0.363 (0.682)	Data 0.000 (0.307)	Loss 4.9764 (4.8849)	Prec@1 2.500 (2.898)	Prec@5 10.000 (11.046)
Epoch: [1][540/2151], lr: 0.00100	Time 0.356 (0.682)	Data 0.000 (0.306)	Loss 4.9627 (4.8827)	Prec@1 7.500 (2.957)	Prec@5 12.500 (11.137)
Epoch: [1][560/2151], lr: 0.00100	Time 0.365 (0.681)	Data 0.000 (0.306)	Loss 4.8738 (4.8807)	Prec@1 2.500 (2.968)	Prec@5 12.500 (11.239)
Epoch: [1][580/2151], lr: 0.00100	Time 0.363 (0.685)	Data 0.000 (0.310)	Loss 4.7298 (4.8771)	Prec@1 5.000 (3.021)	Prec@5 17.500 (11.338)
Epoch: [1][600/2151], lr: 0.00100	Time 0.357 (0.685)	Data 0.000 (0.311)	Loss 4.6834 (4.8755)	Prec@1 5.000 (3.053)	Prec@5 20.000 (11.423)
Epoch: [1][620/2151], lr: 0.00100	Time 0.358 (0.686)	Data 0.000 (0.310)	Loss 4.7047 (4.8735)	Prec@1 7.500 (3.108)	Prec@5 10.000 (11.502)
Epoch: [1][640/2151], lr: 0.00100	Time 0.360 (0.684)	Data 0.000 (0.309)	Loss 4.9654 (4.8713)	Prec@1 2.500 (3.140)	Prec@5 7.500 (11.564)
Epoch: [1][660/2151], lr: 0.00100	Time 1.711 (0.684)	Data 0.000 (0.307)	Loss 4.5408 (4.8699)	Prec@1 5.000 (3.143)	Prec@5 20.000 (11.607)
Epoch: [1][680/2151], lr: 0.00100	Time 0.358 (0.684)	Data 0.000 (0.307)	Loss 4.8544 (4.8679)	Prec@1 5.000 (3.175)	Prec@5 10.000 (11.623)
Epoch: [1][700/2151], lr: 0.00100	Time 0.355 (0.682)	Data 0.000 (0.305)	Loss 4.6584 (4.8658)	Prec@1 0.000 (3.203)	Prec@5 17.500 (11.658)
Epoch: [1][720/2151], lr: 0.00100	Time 0.377 (0.683)	Data 0.000 (0.307)	Loss 4.8409 (4.8645)	Prec@1 2.500 (3.204)	Prec@5 10.000 (11.723)
